sensor_id,timestamp,pm25,pm10,no2,o3
sensor_amsterdam_001,2024-01-04T00:00:00,26.72,40.73,18.04,41.38
sensor_amsterdam_001,2024-01-04T01:00:00,34.8,58.3,36.44,41.38
sensor_amsterdam_001,2024-01-04T02:00:00,32.02,50.68,23.0,41.38
sensor_amsterdam_001,2024-01-04T03:00:00,31.45,53.72,26.78,41.38
sensor_amsterdam_001,2024-01-04T04:00:00,31.79,55.34,21.07,41.38
sensor_amsterdam_001,2024-01-04T05:00:00,34.86,58.34,34.72,41.38
sensor_amsterdam_001,2024-01-04T06:00:00,38.75,66.13,39.35,41.38
sensor_amsterdam_001,2024-01-04T07:00:00,33.91,57.72,36.05,41.38
sensor_amsterdam_001,2024-01-04T08:00:00,33.97,55.55,29.09,41.38
sensor_amsterdam_001,2024-01-04T09:00:00,31.25,52.35,28.28,41.38
sensor_amsterdam_001,2024-01-04T10:00:00,33.11,56.92,26.66,41.38
sensor_amsterdam_001,2024-01-04T11:00:00,31.81,56.69,21.34,41.38
sensor_amsterdam_001,2024-01-04T12:00:00,36.95,61.53,29.35,41.38
sensor_amsterdam_001,2024-01-04T13:00:00,27.34,47.96,23.21,41.38
sensor_amsterdam_001,2024-01-04T14:00:00,27.69,46.97,24.42,41.38
sensor_amsterdam_001,2024-01-04T15:00:00,34.19,58.76,30.86,41.38
sensor_amsterdam_001,2024-01-04T16:00:00,28.97,53.58,29.27,41.38
sensor_amsterdam_001,2024-01-04T17:00:00,40.88,76.76,33.04,41.38
sensor_amsterdam_001,2024-01-04T18:00:00,43.87,78.57,23.66,41.38
sensor_amsterdam_001,2024-01-04T19:00:00,35.16,51.08,36.62,41.38
sensor_amsterdam_001,2024-01-04T20:00:00,39.51,64.84,50.08,41.38
sensor_amsterdam_001,2024-01-04T21:00:00,37.26,57.73,27.81,41.38
sensor_amsterdam_001,2024-01-04T22:00:00,32.06,54.57,30.91,41.38
sensor_amsterdam_001,2024-01-04T23:00:00,29.62,50.99,19.46,41.38
sensor_amsterdam_001,2024-01-05T00:00:00,30.64,53.04,29.3,41.72
sensor_amsterdam_001,2024-01-05T01:00:00,31.57,51.55,26.06,41.72
sensor_amsterdam_001,2024-01-05T02:00:00,32.11,58.07,22.82,41.72
sensor_amsterdam_001,2024-01-05T03:00:00,27.09,42.93,17.46,41.72
sensor_amsterdam_001,2024-01-05T04:00:00,38.78,60.84,25.8,41.72
sensor_amsterdam_001,2024-01-05T05:00:00,31.26,53.38,28.55,41.72
sensor_amsterdam_001,2024-01-05T06:00:00,45.1,79.8,40.74,41.72
sensor_amsterdam_001,2024-01-05T07:00:00,37.07,58.16,32.23,41.72
sensor_amsterdam_001,2024-01-05T08:00:00,30.81,55.77,27.39,41.72
sensor_amsterdam_001,2024-01-05T09:00:00,37.26,63.04,27.17,41.72
sensor_amsterdam_001,2024-01-05T10:00:00,43.66,71.47,21.75,41.72
sensor_amsterdam_001,2024-01-05T11:00:00,25.44,39.07,13.49,41.72
sensor_amsterdam_001,2024-01-05T12:00:00,25.84,40.87,20.22,41.72
sensor_amsterdam_001,2024-01-05T13:00:00,39.56,71.08,30.78,41.72
sensor_amsterdam_001,2024-01-05T14:00:00,24.73,45.21,15.7,41.72
sensor_amsterdam_001,2024-01-05T15:00:00,33.35,47.74,16.47,41.72
sensor_amsterdam_001,2024-01-05T16:00:00,34.52,57.02,24.24,41.72
sensor_amsterdam_001,2024-01-05T17:00:00,26.43,45.65,14.35,41.72
sensor_amsterdam_001,2024-01-05T18:00:00,36.62,56.58,27.06,41.72
sensor_amsterdam_001,2024-01-05T19:00:00,39.19,69.37,24.43,41.72
sensor_amsterdam_001,2024-01-05T20:00:00,37.09,57.84,27.41,41.72
sensor_amsterdam_001,2024-01-05T21:00:00,32.96,59.58,22.61,41.72
sensor_amsterdam_001,2024-01-05T22:00:00,31.99,52.49,21.15,41.72
sensor_amsterdam_001,2024-01-05T23:00:00,27.31,48.04,13.14,41.72
sensor_amsterdam_001,2024-01-06T00:00:00,29.45,49.46,14.06,42.06
sensor_amsterdam_001,2024-01-06T01:00:00,18.84,30.77,13.56,42.06
sensor_amsterdam_001,2024-01-06T02:00:00,22.81,36.21,22.27,42.06
sensor_amsterdam_001,2024-01-06T03:00:00,21.72,40.49,16.21,42.06
sensor_amsterdam_001,2024-01-06T04:00:00,21.1,29.99,16.6,42.06
sensor_amsterdam_001,2024-01-06T05:00:00,24.46,43.3,20.9,42.06
sensor_amsterdam_001,2024-01-06T06:00:00,24.36,41.9,16.79,42.06
sensor_amsterdam_001,2024-01-06T07:00:00,32.75,53.43,14.37,42.06
sensor_amsterdam_001,2024-01-06T08:00:00,30.06,52.44,12.44,42.06
sensor_amsterdam_001,2024-01-06T09:00:00,26.57,41.05,21.87,42.06
sensor_amsterdam_001,2024-01-06T10:00:00,25.66,46.17,22.14,42.06
sensor_amsterdam_001,2024-01-06T11:00:00,27.55,45.08,13.26,42.06
sensor_amsterdam_001,2024-01-06T12:00:00,23.03,42.54,17.44,42.06
sensor_amsterdam_001,2024-01-06T13:00:00,28.42,51.34,26.44,42.06
sensor_amsterdam_001,2024-01-06T14:00:00,26.51,49.64,21.17,42.06
sensor_amsterdam_001,2024-01-06T15:00:00,27.55,45.9,24.01,42.06
sensor_amsterdam_001,2024-01-06T16:00:00,29.22,49.85,13.72,42.06
sensor_amsterdam_001,2024-01-06T17:00:00,22.19,37.97,22.34,42.06
sensor_amsterdam_001,2024-01-06T18:00:00,19.09,29.36,17.29,42.06
sensor_amsterdam_001,2024-01-06T19:00:00,28.45,47.05,34.41,42.06
sensor_amsterdam_001,2024-01-06T20:00:00,23.58,38.09,14.89,42.06
sensor_amsterdam_001,2024-01-06T21:00:00,23.39,36.59,18.34,42.06
sensor_amsterdam_001,2024-01-06T22:00:00,23.79,42.27,23.69,42.06
sensor_amsterdam_001,2024-01-06T23:00:00,19.27,28.53,10.78,42.06
sensor_amsterdam_001,2024-01-07T00:00:00,23.57,37.09,18.65,42.4
sensor_amsterdam_001,2024-01-07T01:00:00,24.84,47.84,14.85,42.4
sensor_amsterdam_001,2024-01-07T02:00:00,22.75,39.91,16.16,42.4
sensor_amsterdam_001,2024-01-07T03:00:00,22.78,40.74,17.54,42.4
sensor_amsterdam_001,2024-01-07T04:00:00,18.64,28.94,11.05,42.4
sensor_amsterdam_001,2024-01-07T05:00:00,16.43,26.62,10.76,42.4
sensor_amsterdam_001,2024-01-07T06:00:00,29.89,47.79,21.35,42.4
sensor_amsterdam_001,2024-01-07T07:00:00,22.54,37.92,19.26,42.4
sensor_amsterdam_001,2024-01-07T08:00:00,26.61,47.44,23.02,42.4
sensor_amsterdam_001,2024-01-07T09:00:00,31.34,53.62,25.43,42.4
sensor_amsterdam_001,2024-01-07T10:00:00,30.26,51.08,29.59,42.4
sensor_amsterdam_001,2024-01-07T11:00:00,22.72,40.25,17.4,42.4
sensor_amsterdam_001,2024-01-07T12:00:00,18.99,31.32,14.26,42.4
sensor_amsterdam_001,2024-01-07T13:00:00,18.89,29.38,15.38,42.4
sensor_amsterdam_001,2024-01-07T14:00:00,20.99,36.64,17.88,42.4
sensor_amsterdam_001,2024-01-07T15:00:00,25.16,42.36,28.08,42.4
sensor_amsterdam_001,2024-01-07T16:00:00,20.13,36.18,14.05,42.4
sensor_amsterdam_001,2024-01-07T17:00:00,29.04,52.15,33.54,42.4
sensor_amsterdam_001,2024-01-07T18:00:00,24.75,39.29,18.19,42.4
sensor_amsterdam_001,2024-01-07T19:00:00,19.8,32.25,17.82,42.4
sensor_amsterdam_001,2024-01-07T20:00:00,29.56,52.63,25.73,42.4
sensor_amsterdam_001,2024-01-07T21:00:00,20.79,38.54,25.76,42.4
sensor_amsterdam_001,2024-01-07T22:00:00,24.2,43.54,14.6,42.4
sensor_amsterdam_001,2024-01-07T23:00:00,22.58,35.89,13.05,42.4
sensor_amsterdam_001,2024-01-08T00:00:00,33.07,61.39,29.73,42.75
sensor_amsterdam_001,2024-01-08T01:00:00,27.95,45.69,31.1,42.75
sensor_amsterdam_001,2024-01-08T02:00:00,36.48,60.99,38.51,42.75
sensor_amsterdam_001,2024-01-08T03:00:00,39.26,66.8,28.37,42.75
sensor_amsterdam_001,2024-01-08T04:00:00,35.46,56.32,37.25,42.75
sensor_amsterdam_001,2024-01-08T05:00:00,33.93,61.11,28.99,42.75
sensor_amsterdam_001,2024-01-08T06:00:00,31.11,49.9,34.71,42.75
sensor_amsterdam_001,2024-01-08T07:00:00,31.68,58.01,15.78,42.75
sensor_amsterdam_001,2024-01-08T08:00:00,36.08,64.73,32.44,42.75
sensor_amsterdam_001,2024-01-08T09:00:00,35.79,54.44,25.72,42.75
sensor_amsterdam_001,2024-01-08T10:00:00,43.02,80.95,42.4,42.75
sensor_amsterdam_001,2024-01-08T11:00:00,34.92,62.48,30.45,42.75
sensor_amsterdam_001,2024-01-08T12:00:00,27.2,43.99,21.71,42.75
sensor_amsterdam_001,2024-01-08T13:00:00,34.6,55.94,29.28,42.75
sensor_amsterdam_001,2024-01-08T14:00:00,32.01,52.84,31.48,42.75
sensor_amsterdam_001,2024-01-08T15:00:00,29.25,53.3,24.95,42.75
sensor_amsterdam_001,2024-01-08T16:00:00,34.92,59.01,24.43,42.75
sensor_amsterdam_001,2024-01-08T17:00:00,33.32,59.7,30.06,42.75
sensor_amsterdam_001,2024-01-08T18:00:00,39.06,66.48,24.22,42.75
sensor_amsterdam_001,2024-01-08T19:00:00,34.39,60.35,30.89,42.75
sensor_amsterdam_001,2024-01-08T20:00:00,40.74,66.98,33.45,42.75
sensor_amsterdam_001,2024-01-08T21:00:00,30.15,48.71,21.4,42.75
sensor_amsterdam_001,2024-01-08T22:00:00,31.34,57.76,16.96,42.75
sensor_amsterdam_001,2024-01-08T23:00:00,33.21,50.54,30.3,42.75
sensor_amsterdam_001,2024-01-09T00:00:00,31.97,53.34,29.6,43.09
sensor_amsterdam_001,2024-01-09T01:00:00,28.49,46.77,27.97,43.09
sensor_amsterdam_001,2024-01-09T02:00:00,25.1,39.74,19.98,43.09
sensor_amsterdam_001,2024-01-09T03:00:00,33.67,61.17,29.76,43.09
sensor_amsterdam_001,2024-01-09T04:00:00,31.28,46.95,29.64,43.09
sensor_amsterdam_001,2024-01-09T05:00:00,29.62,46.6,23.6,43.09
sensor_amsterdam_001,2024-01-09T06:00:00,31.61,55.53,21.44,43.09
sensor_amsterdam_001,2024-01-09T07:00:00,30.51,53.47,25.97,43.09
sensor_amsterdam_001,2024-01-09T08:00:00,40.72,66.95,28.06,43.09
sensor_amsterdam_001,2024-01-09T09:00:00,41.01,73.49,39.91,43.09
sensor_amsterdam_001,2024-01-09T10:00:00,30.81,55.7,24.28,43.09
sensor_amsterdam_001,2024-01-09T11:00:00,36.72,59.24,21.23,43.09
sensor_amsterdam_001,2024-01-09T12:00:00,28.79,44.69,26.08,43.09
sensor_amsterdam_001,2024-01-09T13:00:00,33.01,62.42,18.36,43.09
sensor_amsterdam_001,2024-01-09T14:00:00,36.02,56.14,21.58,43.09
sensor_amsterdam_001,2024-01-09T15:00:00,32.95,58.08,29.61,43.09
sensor_amsterdam_001,2024-01-09T16:00:00,28.7,43.09,22.09,43.09
sensor_amsterdam_001,2024-01-09T17:00:00,31.75,48.89,26.54,43.09
sensor_amsterdam_001,2024-01-09T18:00:00,39.99,70.03,32.75,43.09
sensor_amsterdam_001,2024-01-09T19:00:00,46.63,76.91,28.95,43.09
sensor_amsterdam_001,2024-01-09T20:00:00,35.88,61.9,44.48,43.09
sensor_amsterdam_001,2024-01-09T21:00:00,26.21,42.28,22.46,43.09
sensor_amsterdam_001,2024-01-09T22:00:00,37.79,64.02,38.21,43.09
sensor_amsterdam_001,2024-01-09T23:00:00,26.95,44.31,23.13,43.09
sensor_amsterdam_001,2024-01-10T00:00:00,30.63,52.08,27.72,43.43
sensor_amsterdam_001,2024-01-10T01:00:00,34.81,62.23,18.23,43.43
sensor_amsterdam_001,2024-01-10T02:00:00,32.05,54.93,34.0,43.43
sensor_amsterdam_001,2024-01-10T03:00:00,23.67,38.65,19.34,43.43
sensor_amsterdam_001,2024-01-10T04:00:00,37.23,65.69,35.32,43.43
sensor_amsterdam_001,2024-01-10T05:00:00,30.57,53.07,13.19,43.43
sensor_amsterdam_001,2024-01-10T06:00:00,42.1,74.82,27.19,43.43
sensor_amsterdam_001,2024-01-10T07:00:00,36.5,64.22,37.99,43.43
sensor_amsterdam_001,2024-01-10T08:00:00,36.22,60.83,22.72,43.43
sensor_amsterdam_001,2024-01-10T09:00:00,41.97,62.42,34.22,43.43
sensor_amsterdam_001,2024-01-10T10:00:00,38.68,63.96,28.8,43.43
sensor_amsterdam_001,2024-01-10T11:00:00,31.33,54.14,20.69,43.43
sensor_amsterdam_001,2024-01-10T12:00:00,42.12,71.33,28.7,43.43
sensor_amsterdam_001,2024-01-10T13:00:00,36.84,67.29,29.03,43.43
sensor_amsterdam_001,2024-01-10T14:00:00,34.87,60.03,38.38,43.43
sensor_amsterdam_001,2024-01-10T15:00:00,29.67,53.8,25.49,43.43
sensor_amsterdam_001,2024-01-10T16:00:00,34.5,58.16,30.69,43.43
sensor_amsterdam_001,2024-01-10T17:00:00,38.41,65.97,35.01,43.43
sensor_amsterdam_001,2024-01-10T18:00:00,37.82,64.27,30.78,43.43
sensor_amsterdam_001,2024-01-10T19:00:00,32.64,54.77,31.5,43.43
sensor_amsterdam_001,2024-01-10T20:00:00,35.13,72.36,17.5,43.43
sensor_amsterdam_001,2024-01-10T21:00:00,47.42,71.96,37.25,43.43
sensor_amsterdam_001,2024-01-10T22:00:00,28.95,52.71,27.71,43.43
sensor_amsterdam_001,2024-01-10T23:00:00,32.9,50.45,25.43,43.43
sensor_amsterdam_001,2024-01-11T00:00:00,28.49,46.8,21.28,43.76
sensor_amsterdam_001,2024-01-11T01:00:00,34.78,55.52,12.95,43.76
sensor_amsterdam_001,2024-01-11T02:00:00,36.92,59.74,37.95,43.76
sensor_amsterdam_001,2024-01-11T03:00:00,35.75,61.59,35.03,43.76
sensor_amsterdam_001,2024-01-11T04:00:00,29.54,48.94,26.71,43.76
sensor_amsterdam_001,2024-01-11T05:00:00,26.58,44.45,21.86,43.76
sensor_amsterdam_001,2024-01-11T06:00:00,32.48,55.27,32.93,43.76
sensor_amsterdam_001,2024-01-11T07:00:00,41.03,68.91,18.1,43.76
sensor_amsterdam_001,2024-01-11T08:00:00,37.65,61.47,32.86,43.76
sensor_amsterdam_001,2024-01-11T09:00:00,29.89,51.57,27.83,43.76
sensor_amsterdam_001,2024-01-11T10:00:00,32.95,58.19,23.03,43.76
sensor_amsterdam_001,2024-01-11T11:00:00,30.44,53.1,24.25,43.76
sensor_amsterdam_001,2024-01-11T12:00:00,37.78,69.26,32.99,43.76
sensor_amsterdam_001,2024-01-11T13:00:00,27.93,46.28,20.75,43.76
sensor_amsterdam_001,2024-01-11T14:00:00,32.07,55.21,25.18,43.76
sensor_amsterdam_001,2024-01-11T15:00:00,30.24,49.93,21.21,43.76
sensor_amsterdam_001,2024-01-11T16:00:00,26.1,41.72,17.87,43.76
sensor_amsterdam_001,2024-01-11T17:00:00,36.19,60.25,28.69,43.76
sensor_amsterdam_001,2024-01-11T18:00:00,29.39,52.07,25.23,43.76
sensor_amsterdam_001,2024-01-11T19:00:00,27.24,44.03,29.94,43.76
sensor_amsterdam_001,2024-01-11T20:00:00,39.09,72.3,32.77,43.76
sensor_amsterdam_001,2024-01-11T21:00:00,37.54,65.45,32.45,43.76
sensor_amsterdam_001,2024-01-11T22:00:00,34.22,58.44,28.77,43.76
sensor_amsterdam_001,2024-01-11T23:00:00,33.64,52.92,33.33,43.76
sensor_amsterdam_001,2024-01-12T00:00:00,30.21,44.36,23.71,44.1
sensor_amsterdam_001,2024-01-12T01:00:00,35.17,63.96,25.8,44.1
sensor_amsterdam_001,2024-01-12T02:00:00,27.47,45.31,24.61,44.1
sensor_amsterdam_001,2024-01-12T03:00:00,35.24,63.64,26.94,44.1
sensor_amsterdam_001,2024-01-12T04:00:00,28.32,48.57,27.26,44.1
sensor_amsterdam_001,2024-01-12T05:00:00,39.61,62.4,39.28,44.1
sensor_amsterdam_001,2024-01-12T06:00:00,44.0,78.43,42.52,44.1
sensor_amsterdam_001,2024-01-12T07:00:00,30.85,55.29,29.93,44.1
sensor_amsterdam_001,2024-01-12T08:00:00,41.2,78.5,28.71,44.1
sensor_amsterdam_001,2024-01-12T09:00:00,41.48,72.95,30.62,44.1
sensor_amsterdam_001,2024-01-12T10:00:00,34.38,56.68,16.29,44.1
sensor_amsterdam_001,2024-01-12T11:00:00,28.66,49.82,24.93,44.1
sensor_amsterdam_001,2024-01-12T12:00:00,39.49,67.59,29.63,44.1
sensor_amsterdam_001,2024-01-12T13:00:00,24.1,38.97,20.49,44.1
sensor_amsterdam_001,2024-01-12T14:00:00,37.86,60.98,32.92,44.1
sensor_amsterdam_001,2024-01-12T15:00:00,35.56,62.45,24.36,44.1
sensor_amsterdam_001,2024-01-12T16:00:00,34.75,58.69,24.96,44.1
sensor_amsterdam_001,2024-01-12T17:00:00,37.25,65.94,29.4,44.1
sensor_amsterdam_001,2024-01-12T18:00:00,35.25,62.71,28.01,44.1
sensor_amsterdam_001,2024-01-12T19:00:00,34.74,54.57,27.33,44.1
sensor_amsterdam_001,2024-01-12T20:00:00,39.64,66.43,33.04,44.1
sensor_amsterdam_001,2024-01-12T21:00:00,33.39,57.34,24.94,44.1
sensor_amsterdam_001,2024-01-12T22:00:00,33.26,55.99,24.27,44.1
sensor_amsterdam_001,2024-01-12T23:00:00,33.83,58.65,26.55,44.1
sensor_amsterdam_001,2024-01-13T00:00:00,27.29,48.94,20.31,44.44
sensor_amsterdam_001,2024-01-13T01:00:00,26.48,46.93,20.99,44.44
sensor_amsterdam_001,2024-01-13T02:00:00,19.76,35.58,8.32,44.44
sensor_amsterdam_001,2024-01-13T03:00:00,21.08,33.8,16.91,44.44
sensor_amsterdam_001,2024-01-13T04:00:00,23.75,36.84,18.34,44.44
sensor_amsterdam_001,2024-01-13T05:00:00,21.81,32.69,17.57,44.44
sensor_amsterdam_001,2024-01-13T06:00:00,19.43,32.14,11.6,44.44
sensor_amsterdam_001,2024-01-13T07:00:00,26.15,40.16,17.64,44.44
sensor_amsterdam_001,2024-01-13T08:00:00,29.41,53.74,28.2,44.44
sensor_amsterdam_001,2024-01-13T09:00:00,30.11,53.09,29.47,44.44
sensor_amsterdam_001,2024-01-13T10:00:00,17.2,30.87,11.93,44.44
sensor_amsterdam_001,2024-01-13T11:00:00,24.23,42.46,17.54,44.44
sensor_amsterdam_001,2024-01-13T12:00:00,23.3,40.94,21.08,44.44
sensor_amsterdam_001,2024-01-13T13:00:00,26.18,46.62,31.57,44.44
sensor_amsterdam_001,2024-01-13T14:00:00,19.29,34.6,12.45,44.44
sensor_amsterdam_001,2024-01-13T15:00:00,21.25,35.96,13.8,44.44
sensor_amsterdam_001,2024-01-13T16:00:00,22.82,42.29,17.25,44.44
sensor_amsterdam_001,2024-01-13T17:00:00,25.45,43.23,19.9,44.44
sensor_amsterdam_001,2024-01-13T18:00:00,21.03,34.66,14.33,44.44
sensor_amsterdam_001,2024-01-13T19:00:00,24.0,37.81,22.6,44.44
sensor_amsterdam_001,2024-01-13T20:00:00,23.85,43.38,21.89,44.44
sensor_amsterdam_001,2024-01-13T21:00:00,28.94,52.72,25.06,44.44
sensor_amsterdam_001,2024-01-13T22:00:00,15.28,25.01,15.14,44.44
sensor_amsterdam_001,2024-01-13T23:00:00,25.35,42.44,20.17,44.44
sensor_amsterdam_001,2024-01-14T00:00:00,22.12,41.21,12.04,44.77
sensor_amsterdam_001,2024-01-14T01:00:00,22.57,38.49,13.74,44.77
sensor_amsterdam_001,2024-01-14T02:00:00,24.85,40.42,16.98,44.77
sensor_amsterdam_001,2024-01-14T03:00:00,19.81,34.67,15.18,44.77
sensor_amsterdam_001,2024-01-14T04:00:00,27.28,45.97,20.71,44.77
sensor_amsterdam_001,2024-01-14T05:00:00,23.05,40.02,17.11,44.77
sensor_amsterdam_001,2024-01-14T06:00:00,23.74,37.26,15.39,44.77
sensor_amsterdam_001,2024-01-14T07:00:00,31.6,55.94,24.58,44.77
sensor_amsterdam_001,2024-01-14T08:00:00,25.8,47.2,18.47,44.77
sensor_amsterdam_001,2024-01-14T09:00:00,29.13,43.63,30.48,44.77
sensor_amsterdam_001,2024-01-14T10:00:00,23.31,37.36,17.81,44.77
sensor_amsterdam_001,2024-01-14T11:00:00,25.71,42.97,26.28,44.77
sensor_amsterdam_001,2024-01-14T12:00:00,20.6,34.6,13.34,44.77
sensor_amsterdam_001,2024-01-14T13:00:00,26.5,42.12,21.87,44.77
sensor_amsterdam_001,2024-01-14T14:00:00,22.95,40.84,15.33,44.77
sensor_amsterdam_001,2024-01-14T15:00:00,21.52,35.65,19.11,44.77
sensor_amsterdam_001,2024-01-14T16:00:00,21.61,36.76,19.52,44.77
sensor_amsterdam_001,2024-01-14T17:00:00,21.81,38.57,12.27,44.77
sensor_amsterdam_001,2024-01-14T18:00:00,23.82,44.74,21.29,44.77
sensor_amsterdam_001,2024-01-14T19:00:00,29.0,48.08,26.31,44.77
sensor_amsterdam_001,2024-01-14T20:00:00,28.5,52.92,34.78,44.77
sensor_amsterdam_001,2024-01-14T21:00:00,20.99,36.17,23.93,44.77
sensor_amsterdam_001,2024-01-14T22:00:00,26.96,43.95,19.96,44.77
sensor_amsterdam_001,2024-01-14T23:00:00,24.12,41.47,19.82,44.77
sensor_amsterdam_001,2024-01-15T00:00:00,38.56,72.77,25.12,45.11
sensor_amsterdam_001,2024-01-15T01:00:00,25.6,43.79,23.59,45.11
sensor_amsterdam_001,2024-01-15T02:00:00,29.35,50.7,25.44,45.11
sensor_amsterdam_001,2024-01-15T03:00:00,21.77,35.43,20.92,45.11
